"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,99.22,0.57,0.06,0.14,0,0,0,0.01
2010,98.69,0.93,0.07,0.25,0.05,0,0,0.02
2011,98.2,1.21,0.04,0.24,0.25,0.04,0,0.02
2012,97.35,1.7,0.06,0.26,0.51,0.1,0,0.02
2013,96.77,2.29,0.01,0.42,0,0.5,0,0
2014,94.66,4,0.46,0.68,0,0.18,0.03,0
2015,92.37,5.17,1.52,0.88,0,0,0.05,0.01
2016,88.94,7.09,3.14,0.78,0,0,0.04,0.01
2017,89.27,8.8,0.94,0.93,0,0,0.04,0.01
2018,88.41,8.9,2.09,0.55,0,0,0.05,0
2019,78.37,13.87,6.9,0.81,0,0,0.04,0.01
2020,81.82,15.57,1.66,0.88,0,0,0.07,0.01
2021,82.77,8.85,7.09,1.11,0,0,0.14,0.04
2022,81.73,8.83,7.19,1.98,0,0,0.24,0.03
2023,73.77,7.8,14.49,3.62,0,0,0.29,0.02
