"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,98.55,0.96,0.06,0.42,0,0,0,0.01
2010,98.01,1.47,0.02,0.45,0,0.03,0,0.01
2011,96.79,2.22,0.03,0.64,0,0.27,0.04,0.01
2012,96.07,2.6,0.04,0.68,0,0.49,0.09,0.02
2013,95.9,3.24,0.02,0.66,0.02,0,0.15,0
2014,94.82,3.67,0.75,0.62,0.1,0,0.04,0
2015,90.51,5.81,2.58,0.86,0.25,0,0,0
2016,86,6.37,6.55,0.84,0.24,0,0,0
2017,86.22,9.59,3,0.94,0.25,0,0,0
2018,77.06,13.74,8.15,0.84,0.21,0,0,0
2019,69.85,17.83,11.37,0.78,0.17,0,0,0
2020,70.64,17.7,10.24,1.01,0.4,0,0,0
2021,69.68,7.17,21.45,1.25,0.46,0,0,0
2022,71,7.14,20.03,1.25,0.59,0,0,0
2023,66.9,6.09,24.79,1.13,1.08,0,0,0.01
