"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","FreeBSD","Other"
2009,94.05,0.08,4.57,1.3,0,0,0,0,0
2010,95.19,0.02,4.27,0.43,0,0.09,0,0,0
2011,92.46,0.07,5.98,0.71,0,0.65,0.03,0.09,0
2012,93.02,0.05,5.61,0.43,0,0.66,0.19,0.02,0
2013,95.34,0.08,3.87,0.59,0,0,0.13,0,0
2014,95.88,0.16,3.72,0.18,0,0,0.05,0,0
2015,95.63,1.32,2.67,0.29,0.02,0,0,0.07,0
2016,91.04,3.88,4.39,0.63,0.05,0,0,0.02,0
2017,90.76,0.46,8.08,0.57,0.13,0,0,0,0
2018,78.17,13.37,7.79,0.51,0.17,0,0,0,0
2019,62.3,31.7,5.35,0.49,0.15,0,0,0,0
2020,68.59,25.46,5.49,0.17,0.3,0,0,0,0
2021,64.28,29,3.9,2.18,0.64,0,0,0,0
2022,64.14,26.86,5.43,0.39,3.17,0,0,0,0
2023,63.31,23.5,10.06,0.42,2.72,0,0,0,0
