"Date","Android","iOS","BlackBerry OS","Windows","Linux","Series 40","Playstation","Unknown","Samsung","SymbianOS","webOS","Nintendo","Nokia Unknown","Nintendo 3DS","LG","Sony Ericsson","Other"
2012,28.09,55.18,6.76,0.65,0.19,3.44,2.24,0.61,0.13,1.58,0.32,0.22,0,0.23,0.01,0.07,0.29
2013,39.43,44.07,5.85,1.11,4.44,1.71,1.52,0.76,0.13,0.48,0.11,0.17,0,0.08,0.04,0.06,0.05
2014,48.93,39.05,4.31,2.05,3.32,0.83,0.66,0.33,0.14,0.17,0.05,0.02,0.03,0.02,0.03,0.03,0.03
2015,58.57,32.73,2.52,2.7,2.3,0.26,0.34,0.25,0.15,0.05,0.01,0,0.06,0.02,0.01,0,0.01
2016,63.01,31.56,1.79,2.28,0.34,0.19,0.35,0.34,0.02,0.04,0,0.01,0.05,0.01,0.01,0,0
2017,68.95,28.94,0.56,1.19,0.07,0.05,0.1,0.08,0.04,0,0,0,0.02,0.02,0,0,0
2018,70.93,27.64,0.37,0.68,0.02,0.01,0.2,0.07,0.08,0,0,0,0,0,0,0,0
2019,73.09,25.81,0.19,0.58,0.01,0,0.03,0,0.28,0,0,0,0,0,0,0,0
2020,75.98,23.57,0.02,0.13,0.01,0,0,0,0.29,0,0,0,0,0,0,0,0
2021,76.05,23.39,0.01,0.01,0.01,0,0,0,0.53,0,0,0,0,0,0,0,0
2022,71.85,27.4,0.02,0.02,0.01,0,0,0,0.7,0,0,0,0,0,0,0,0
2023,66.47,32.6,0,0.02,0.01,0,0,0,0.91,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
