"Date","Windows","OS X","Linux","Unknown","Android","Chrome OS","iOS","Other"
2009,98.87,0.43,0.6,0.09,0,0,0,0.02
2010,98.52,0.56,0.84,0.05,0,0,0.01,0.01
2011,98.22,0.69,0.92,0.05,0.02,0,0.09,0.01
2012,97.81,0.87,1.03,0.03,0.09,0,0.16,0.01
2013,97.5,1.1,1.12,0.02,0.26,0,0,0
2014,96.37,1.52,1.5,0.48,0.12,0.01,0,0
2015,94.55,1.96,1.85,1.62,0,0.03,0,0
2016,92.56,1.98,1.88,3.52,0,0.04,0,0.01
2017,93.61,2.54,2.02,1.76,0,0.07,0,0
2018,91.07,3.17,2.42,3.26,0,0.08,0,0.01
2019,89.45,3.94,2.57,3.93,0,0.11,0,0
2020,90.6,4.91,2.3,2.07,0,0.12,0,0
2021,90.42,3.83,2.08,3.45,0,0.21,0,0
2022,89.14,4.37,2.16,4.01,0,0.33,0,0
2023,85.83,3.97,2.41,7.52,0,0.26,0,0.01
