"Date","Windows","OS X","Linux","iOS","Unknown","Chrome OS","Android","Playstation","Other"
2009,86.5,11.81,1.3,0,0.2,0,0,0.16,0.02
2010,82.77,15.46,1.27,0.24,0.1,0,0,0.16,0.02
2011,79.4,18.04,1.2,1.12,0.06,0,0.05,0.11,0.01
2012,76.86,19.58,1.32,1.95,0.06,0,0.16,0.06,0.01
2013,76.06,22.17,1.44,0,0.04,0,0.27,0,0.01
2014,75.26,22.77,1.72,0,0.14,0.04,0.07,0,0.01
2015,72.98,24.52,2.02,0,0.39,0.08,0,0,0.01
2016,74.14,23.03,1.57,0,1.17,0.08,0,0,0.01
2017,70.23,27.15,1.72,0,0.78,0.11,0,0,0.01
2018,68.72,27.79,1.75,0,1.58,0.15,0,0,0.01
2019,67.35,28.98,1.65,0,1.86,0.16,0,0,0
2020,64.75,32.77,1.5,0,0.76,0.2,0,0,0
2021,67.21,29.67,1.32,0,1.38,0.41,0,0,0
2022,73.71,23.2,1.18,0,1.01,0.9,0,0,0
2023,74.59,21.35,1.51,0,1.66,0.9,0,0,0
