"Date","Android","iOS","BlackBerry OS","Windows","Samsung","Linux","Unknown","Series 40","Playstation","SymbianOS","Nintendo 3DS","Nokia Unknown","LG","Other"
2012,22.45,62.56,11.43,0.17,0.11,0.03,0.18,1.27,0.1,0.61,0.13,0,0,0.97
2013,41.05,51.54,5.71,0.39,0.08,0.34,0.11,0.47,0.03,0.13,0.04,0,0.03,0.09
2014,53.33,40.57,4.36,0.72,0.02,0.42,0.07,0.13,0.05,0.06,0.1,0.01,0.08,0.07
2015,55.36,39.91,2.59,1.17,0.02,0.28,0.23,0.07,0.14,0.11,0.03,0.05,0.02,0.01
2016,57.67,38.82,1.82,1.18,0.01,0.07,0.22,0.02,0.08,0.03,0.03,0.04,0,0
2017,61.68,37.06,0.48,0.43,0.06,0.03,0.17,0.01,0.02,0,0.01,0.04,0,0
2018,67.33,32.02,0.13,0.31,0.16,0,0.02,0,0.02,0,0,0,0,0
2019,67.95,31.77,0.04,0.09,0.13,0,0,0,0,0,0,0,0,0
2020,74.22,25.59,0,0.01,0.16,0,0.01,0,0,0,0,0,0,0
2021,66.32,32.97,0.01,0,0.69,0,0,0,0,0,0,0,0,0
2022,64.71,34.42,0,0.01,0.85,0,0,0,0,0,0,0,0,0
2023,63.82,35.47,0,0,0.63,0.08,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
