"Date","iOS","Android","Linux","Windows","Samsung","BlackBerry OS","SymbianOS","Unknown","Series 40","Playstation","Other"
2012,83.21,14.76,0.04,0.2,0.04,0.77,0.38,0.05,0.26,0.13,0.16
2013,78.22,18.88,1.54,0.51,0.04,0.47,0.1,0.03,0.15,0.01,0.07
2014,71.07,26.61,1.45,0.54,0,0.22,0.04,0.01,0.01,0.03,0.02
2015,67.83,30.36,0.85,0.72,0.01,0.16,0.01,0.02,0,0.02,0.01
2016,67.07,31.81,0.13,0.74,0.11,0.09,0,0.02,0.01,0.01,0.03
2017,66.59,32.55,0.03,0.42,0.28,0.04,0,0.07,0,0,0.01
2018,65.5,34.07,0,0.14,0.23,0.01,0,0.03,0,0,0.01
2019,60.83,38.95,0.01,0.04,0.15,0,0,0,0,0,0.01
2020,53.24,46.45,0,0.01,0.29,0,0,0,0,0,0
2021,51.51,47.75,0,0.01,0.73,0,0,0,0,0,0
2022,50.86,48.43,0,0.05,0.67,0,0,0,0,0,0
2023,50.23,49.33,0.01,0.06,0.35,0,0,0.02,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
