"Date","Android","Unknown","Sony Ericsson","iOS","Series 40","SymbianOS","Samsung","Linux","Nokia Unknown","BlackBerry OS","Windows","Firefox OS","LG","bada","KaiOS","Tizen","Playstation","Motorola","Other"
2012,21.04,14.81,9.36,19.46,8.82,17.84,3.81,0.13,0,1.03,1.21,0,0.42,0.5,0,0,0.22,0.07,1.27
2013,29.24,19.72,9.84,11.67,8.86,9.7,5.78,0.51,0.11,0.82,0.63,0,2.21,0.32,0,0,0.09,0.1,0.4
2014,47.73,18.5,4.61,9.65,6.07,4.11,3.73,0.97,0.26,1.29,1.23,0,1.42,0.24,0,0,0.03,0.06,0.08
2015,40.22,35.89,3.56,2.34,4.31,2.42,1.88,2.94,2.15,1.83,0.81,0.71,0.58,0.28,0,0,0.03,0.03,0.02
2016,41.45,41.36,2.54,1.25,2.78,1.41,1.46,2.43,1.79,1.1,0.85,0.97,0.37,0.19,0,0,0.04,0.01,0.01
2017,45.13,44.38,2.55,1.15,1.49,1.07,0.86,0.5,0.93,0.56,0.6,0.33,0.31,0.1,0,0,0.01,0,0.02
2018,45.86,45.11,2.46,1.03,1.07,2.18,0.61,0.16,0.25,0.35,0.51,0.14,0.17,0.03,0,0.06,0.01,0,0.01
2019,51.96,37.55,2.71,1.52,1.03,3.25,0.59,0.14,0.2,0.18,0.57,0.14,0.07,0.02,0,0.06,0.01,0,0
2020,77.96,10.95,0.05,8.19,0.35,0.76,0.31,0.26,0.11,0.08,0.57,0.02,0.01,0.01,0.3,0.02,0.04,0,0
2021,85.02,4.68,0.02,8.49,0.21,0.19,0.26,0.19,0.06,0.05,0.35,0.01,0.01,0,0.36,0.09,0.01,0,0
2022,93.08,1.76,0.01,4.55,0.07,0.1,0.07,0.06,0.02,0.03,0.08,0,0,0,0.18,0,0,0,0
2023,87.83,3.17,0.02,7.48,0.07,0.08,0.09,0.1,0.02,0.03,0.05,0,0,0,1.05,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
