"Date","Android","Series 40","Unknown","iOS","SymbianOS","BlackBerry OS","Nokia Unknown","Linux","Windows","Samsung","LG","Sony Ericsson","KaiOS","Other"
2012,4.48,48.64,14.94,5.27,20.4,1.33,0,0.07,1.63,2.14,0.13,0.88,0,0.09
2013,10.99,43.76,21.71,3.75,13.36,1.82,0.33,0.32,0.66,1.75,1.01,0.51,0,0.03
2014,26.39,33.87,18.12,4.11,6.89,4.04,2.28,0.67,1.25,1.09,1.03,0.22,0,0.03
2015,47.44,17.98,13.08,3.05,3.25,6.2,4.34,2,1.62,0.41,0.55,0.06,0,0.02
2016,61.21,9.17,10.97,2.26,1.76,4.84,4.27,2.95,2.03,0.19,0.3,0.02,0,0.02
2017,64.67,6.82,13.95,2.8,1.4,3.74,3.2,1.24,1.78,0.14,0.23,0.01,0,0.02
2018,73.15,4.19,12.59,3.7,0.81,1.29,1.7,1.42,0.93,0.07,0.12,0.01,0,0.02
2019,78.61,2.36,9.41,5.86,0.4,0.47,0.96,1.25,0.51,0.05,0.07,0,0.03,0.01
2020,85.05,0.74,5.57,7.29,0.09,0.12,0.32,0.64,0.09,0.03,0.02,0,0.04,0.01
2021,86.53,0.37,4.02,8.18,0.04,0.03,0.15,0.58,0.02,0.04,0.01,0,0.02,0
2022,84.34,0.21,4.01,10.97,0.02,0.01,0.11,0.23,0.01,0.05,0.01,0,0.02,0
2023,82.95,0.17,4.4,12.07,0.01,0.01,0.09,0.17,0.01,0.06,0.01,0,0.05,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
