"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Playstation","Other"
2009,96.8,2.63,0.05,0.48,0,0,0,0.03,0.01
2010,95.95,3.15,0.13,0.61,0.08,0,0,0.07,0.01
2011,93.83,4.69,0.03,0.61,0.67,0,0.06,0.09,0.02
2012,92.88,5.26,0.02,0.62,0.95,0,0.16,0.05,0.05
2013,91.87,6.94,0.04,0.88,0,0.02,0.25,0,0
2014,86.33,12,0.42,1.05,0,0.08,0.12,0,0
2015,82.49,14.62,1.58,1.19,0,0.12,0,0,0
2016,74.31,19.59,4.23,1.75,0,0.13,0,0,0
2017,77.08,20.4,1.18,1.22,0,0.12,0,0,0
2018,73.97,22.12,2.83,0.97,0,0.1,0,0,0
2019,67.08,26.42,5.79,0.61,0,0.09,0,0,0.01
2020,67.46,29.51,1.83,0.97,0,0.23,0,0,0
2021,77.6,14.63,5.73,1.42,0,0.6,0,0,0.02
2022,78.18,13.18,6.18,1.66,0,0.8,0,0,0
2023,73.3,11.97,10.62,3.18,0,0.91,0,0,0.01
