"Date","iOS","Android","Windows","Samsung","BlackBerry OS","Linux","SymbianOS","bada","Series 40","Unknown","Other"
2012,75.2,22.68,0.68,0.04,0.16,0.12,0.58,0.36,0.07,0.08,0.02
2013,70.71,26.88,1.65,0.01,0.32,0.2,0.12,0.03,0.07,0.02,0.01
2014,53.37,44.27,1.85,0,0.27,0.15,0.05,0.01,0.02,0,0.01
2015,52.02,45.36,2.22,0.04,0.16,0.15,0.01,0.02,0.02,0.01,0.01
2016,50.2,46.57,2.25,0.76,0.14,0.05,0,0,0,0.01,0.01
2017,45.92,52.12,1.3,0.6,0.02,0,0,0,0,0.02,0.02
2018,41.36,57.22,0.72,0.68,0,0,0,0,0,0,0.02
2019,37.7,60.62,1.38,0.29,0.01,0,0,0,0,0,0
2020,33.77,65.94,0.01,0.28,0,0,0,0,0,0,0
2021,32.72,66.76,0,0.5,0,0,0,0,0,0.01,0
2022,36.27,63.14,0.02,0.58,0,0,0,0,0,0,0
2023,41.81,56.85,0,1.34,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
